City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Stokmarknes,75,NO,1584471102,93,68.56,14.91,37.99,6.93
Bethel,90,US,1584471103,81,41.37,-73.41,51.01,6.93
Bāfq,65,IR,1584471103,28,31.61,55.41,68.09,9.84
Bathsheba,40,BB,1584471103,58,13.22,-59.52,84.2,14.99
Atuona,20,PF,1584471103,76,-9.8,-139.03,82.31,12.03
Rikitea,29,PF,1584471083,81,-23.12,-134.97,80.15,14.85
Solnechnyy,100,RU,1584470769,94,50.72,136.63,17.87,2.66
Jamestown,90,US,1584470729,74,42.1,-79.24,43.0,14.99
Kapaa,90,US,1584470728,100,22.08,-159.32,71.6,8.05
Saint Anthony,1,US,1584471104,38,45.02,-93.22,42.8,6.42
Asău,2,RO,1584470819,31,46.43,26.4,50.0,3.36
Cape Town,13,ZA,1584470901,82,-33.93,18.42,68.0,12.75
Harlingen,40,US,1584471105,45,26.19,-97.7,88.0,16.11
Punta Arenas,75,CL,1584470878,47,-53.15,-70.92,57.2,27.51
Helong,1,CN,1584471105,86,42.54,129.0,23.81,6.69
Upernavik,0,GL,1584471106,52,72.79,-56.15,-11.29,5.1
Arraial do Cabo,75,BR,1584471106,78,-22.97,-42.03,82.4,12.75
Barrow,1,US,1584471106,85,71.29,-156.79,12.2,9.17
Guerrero Negro,40,MX,1584471106,56,27.98,-114.06,64.13,11.68
Enid,90,US,1584471107,87,36.4,-97.88,51.01,10.29
Vaini,75,TO,1584471107,94,-21.2,-175.2,78.8,4.7
Saint-Philippe,90,RE,1584470719,94,-21.36,55.77,77.0,5.82
George Town,20,MY,1584470719,88,5.41,100.34,82.4,4.7
Vestmannaeyjar,99,IS,1584471108,81,63.44,-20.27,37.13,8.41
Yellowknife,75,CA,1584470717,57,62.46,-114.35,-9.0,3.36
Mataura,4,NZ,1584471108,95,-46.19,168.86,37.0,1.99
Touros,20,BR,1584471109,58,-5.2,-35.46,87.8,11.41
Te Anau,28,NZ,1584471109,82,-45.42,167.72,41.81,0.94
Gemeente Wageningen,90,NL,1584471109,70,51.97,5.67,53.01,4.7
Hilo,90,US,1584471110,88,19.73,-155.09,75.0,5.82
Busselton,15,AU,1584471110,98,-33.65,115.33,53.01,17.92
Chokurdakh,14,RU,1584471110,92,70.63,147.92,-21.73,6.85
Chihuahua,90,MX,1584470958,26,28.5,-106.0,75.0,5.82
Nizhniy Kuranakh,83,RU,1584471111,97,58.84,125.49,14.45,1.28
Kupang,18,ID,1584471111,78,-10.17,123.58,81.05,6.96
Dafeng,92,CN,1584471111,89,23.45,108.59,56.21,2.89
Kapit,48,MY,1584471111,99,2.02,112.93,72.59,1.32
Laguna,90,US,1584471112,81,38.42,-121.42,53.01,6.93
Mar del Plata,90,AR,1584471037,68,-38.0,-57.56,75.0,5.82
Longyearbyen,20,SJ,1584471112,68,78.22,15.64,-16.6,4.7
Tuatapere,23,NZ,1584471112,95,-46.13,167.68,37.0,1.99
Bandarbeyla,84,SO,1584471112,73,9.49,50.81,80.33,14.5
Carnarvon,75,AU,1584471113,78,-24.87,113.63,73.4,12.75
Thompson,5,CA,1584471113,53,55.74,-97.86,-2.2,10.29
Avarua,100,CK,1584471113,88,-21.21,-159.78,80.6,17.22
Ushtobe,98,KZ,1584471113,41,45.25,77.98,58.73,11.72
Hvide Sande,90,DK,1584471113,93,56.0,8.13,46.99,16.11
Taoudenni,100,ML,1584471114,7,22.68,-3.98,84.29,4.23
Pokhara,0,NP,1584471114,60,28.23,83.98,60.71,3.0
Dikson,100,RU,1584471114,96,73.51,80.55,3.47,10.36
Tygda,99,RU,1584471114,95,53.12,126.33,21.11,5.12
Perbaungan,40,ID,1584471115,100,3.57,98.96,77.0,3.36
Lorengau,100,PG,1584471115,76,-2.02,147.27,82.67,8.28
Namtsy,40,RU,1584471115,85,62.72,129.67,12.2,4.47
Ribeira Grande,20,PT,1584471115,82,38.52,-28.7,64.4,11.41
Faanui,96,PF,1584471116,71,-16.48,-151.75,82.67,6.02
Bredasdorp,0,ZA,1584471116,72,-34.53,20.04,68.0,11.41
Ligayan,28,PH,1584471116,78,4.65,119.47,81.05,8.08
Gamba,100,GA,1584471117,86,-2.65,10.0,77.63,4.72
Mabay,70,PH,1584471117,76,6.06,124.47,77.63,3.27
Clearlake,90,US,1584471117,81,38.96,-122.63,52.0,3.36
Richards Bay,52,ZA,1584471117,69,-28.78,32.04,73.31,21.94
Fairbanks,75,US,1584471090,85,64.84,-147.72,21.99,6.93
Lagoa,0,PT,1584470821,77,39.05,-27.98,63.05,15.46
Qaanaaq,83,GL,1584471118,71,77.48,-69.36,-19.57,2.57
Albany,90,US,1584471119,100,42.6,-73.97,48.99,3.36
Iralaya,2,HN,1584471119,77,15.0,-83.23,79.97,13.47
Sibolga,97,ID,1584471119,93,1.74,98.78,70.79,3.27
Augustów,86,PL,1584471119,94,53.84,22.98,37.99,2.77
Coyhaique,31,CL,1584470883,45,-45.58,-72.07,62.6,3.36
Leningradskiy,83,RU,1584471120,80,69.38,178.42,19.13,9.91
Torbay,20,CA,1584471120,50,47.67,-52.73,32.0,18.34
Xai-Xai,7,MZ,1584471121,77,-25.05,33.64,68.45,5.79
Kawambwa,99,ZM,1584471121,94,-9.79,29.08,65.93,3.47
Ilulissat,75,GL,1584471121,41,69.22,-51.1,1.4,17.22
Ushuaia,75,AR,1584471084,47,-54.8,-68.3,57.2,6.93
Freeport,90,US,1584471091,66,40.66,-73.58,53.6,5.82
Smithers,75,CA,1584471122,58,54.78,-127.17,28.4,2.24
Port Alfred,87,ZA,1584471122,78,-33.59,26.89,69.53,10.74
Bodden Town,75,KY,1584471123,66,19.28,-81.25,84.2,12.75
Colesberg,99,ZA,1584471123,74,-30.72,25.1,63.95,9.1
Fort Nelson,75,CA,1584471123,62,58.81,-122.7,23.0,4.7
Saldanha,48,ZA,1584471123,77,-33.01,17.94,64.4,9.17
Samarai,64,PG,1584471123,86,-10.62,150.67,75.47,4.99
Puerto Ayora,20,EC,1584471124,66,-0.74,-90.35,84.2,10.29
Kavaratti,20,IN,1584471124,61,10.57,72.64,83.57,3.33
Hermanus,7,ZA,1584471124,88,-34.42,19.23,64.99,4.38
Severo-Kuril'sk,100,RU,1584471124,81,50.68,156.12,15.35,7.9
Boa Vista,75,BR,1584471125,39,2.82,-60.67,95.0,13.87
Bar Harbor,90,US,1584471125,93,44.39,-68.2,36.0,14.99
Tasiilaq,20,GL,1584471125,72,65.61,-37.64,15.8,3.36
Kvarkeno,0,RU,1584471125,92,52.08,59.73,20.03,10.02
Castro,22,BR,1584471125,67,-24.79,-50.01,78.53,2.86
Vila Velha,40,BR,1584471126,74,-20.33,-40.29,84.99,13.87
Cabinda,75,AO,1584471126,88,-5.55,12.2,78.8,5.82
Kiryat Gat,75,IL,1584471126,82,31.61,34.76,55.4,5.82
Mangan,78,IN,1584471126,61,27.52,88.53,44.33,3.6
Port-Gentil,40,GA,1584471127,79,-0.72,8.78,86.0,121.91
Myronivka,99,UA,1584471127,83,49.66,30.98,40.37,3.06
Homer,90,US,1584471127,80,59.64,-151.55,37.0,4.7
Tuktoyaktuk,90,CA,1584471127,84,69.45,-133.04,-2.2,9.17
Linden,75,GY,1584471128,94,6.0,-58.3,78.8,6.93
Kumul,56,CN,1584471128,25,42.8,93.45,44.51,1.5
Kieta,0,PG,1584471128,79,-6.22,155.63,79.61,5.06
La Maddalena,0,IT,1584471128,87,41.21,9.41,53.6,4.7
Glenwood Springs,90,US,1584471129,43,39.55,-107.32,57.2,8.05
Kargasok,100,RU,1584471129,96,59.06,80.86,30.47,16.02
Tazovsky,100,RU,1584471129,94,67.47,78.7,22.73,17.54
Whitianga,0,NZ,1584471129,74,-36.83,175.7,48.99,1.01
Alta Floresta,20,BR,1584470880,62,-9.88,-56.09,87.8,9.17
Adrar,69,MR,1584471130,17,20.5,-10.07,81.41,6.35
Klaksvík,23,FO,1584471130,59,62.23,-6.59,37.4,21.92
Antalaha,42,MG,1584471130,76,-14.9,50.28,81.41,0.89
Kharan,0,PK,1584471130,20,28.58,65.42,72.77,5.44
Namatanai,96,PG,1584471130,78,-3.67,152.43,81.77,12.73
San Policarpo,64,PH,1584471131,85,12.18,125.51,78.17,16.33
Mahon,20,ES,1584471131,87,39.89,4.27,57.2,12.75
Manzhouli,100,CN,1584471131,76,49.6,117.43,21.65,14.76
Khovd,17,MN,1584471132,47,48.01,91.64,28.13,2.3
Pisco,40,PE,1584471132,30,-13.7,-76.22,71.6,6.93
Champerico,40,GT,1584471132,52,14.3,-91.92,89.6,4.7
Itatskiy,99,RU,1584471132,83,56.07,89.04,26.69,14.45
Puerto Quijarro,20,BO,1584471132,47,-17.78,-57.77,93.47,3.0
Lüderitz,0,NA,1584471133,82,-26.65,15.16,64.4,11.41
Port Elizabeth,67,ZA,1584471133,77,-33.92,25.57,69.8,5.82
